Cap Title                                                         First Seen (CT)
The Irish Rose Peaky Boston Scally Cap - Plaid                    3/9/2026
The Jack of Clubs Boston Scally Cap - All In Patchwork            3/9/2026
The Jack-O’-Rose Boston Scally Cap - Orange Plaid                 3/9/2026
The Jake 2 Boston Scally Cap - Fire Engine Red                    3/9/2026
The Jake Boston Scally Cap - Grey                                 3/9/2026
The Jetty Cape Cod Boston Scally Cap - Plaid                      3/9/2026
The Joker 2 Boston Scally Cap - Multicolored Patchwork            3/9/2026
The Joker Boston Scally Cap - Patchwork                           3/9/2026
The Keeper Boston Scally Cap - Driftwood Grey                     3/9/2026
The Keeper Boston Scally Cap - Midnight Sky Black                 3/9/2026
The Kenmore Boston Scally Cap - Allston Grey & Black Brim         3/9/2026
The Kenmore Boston Scally Cap - Allston Grey & Brown Brim         3/9/2026
The Kenmore Boston Scally Cap - Allston Grey & Grey Brim          3/9/2026
The Kenmore Boston Scally Cap - Brighton Ale & Cigar Brown Brim   3/9/2026
The Kenmore Boston Scally Cap - Coolidge Black & Black Brim       3/9/2026
The Kenmore Boston Scally Cap - Coolidge Black & Brown Brim       3/9/2026
The Kenmore Boston Scally Cap - Coolidge Black & Grey Brim        3/9/2026
The Kenmore Boston Scally Cap - Crimson & Black Brim              3/9/2026
The Kenmore Boston Scally Cap - Crimson & Brown Brim              3/9/2026
The Kenmore Boston Scally Cap - Hunter Green                      3/9/2026
The Kenmore Boston Scally Cap - Navy Blue & Grey Brim             3/9/2026
The Kenmore Boston Scally Cap - Royal Blue                        3/9/2026
The Kenmore Boston Scally Cap - Slate Blue and Black Leather Brim 3/9/2026
The Kilkenny Baker Boy Boston Scally Cap - Medieval Plaid         3/13/2026
The King of Hearts Boston Scally Cap - Red & Blue Plaid           3/9/2026
The Kraken Boston Scally Cap - Multi-Color Patchwork              3/9/2026
The Kringle Boston Scally Cap - Crimson & Green Plaid             3/9/2026
The Lad Boston Scally Cap - Patchwork Edition                     3/9/2026
The Legacy Boston Scally Cap - Allston Grey                       3/9/2026
The Legacy Boston Scally Cap - Brighton Ale                       3/9/2026
The Legacy Boston Scally Cap - Charlestown Blue                   3/9/2026
The Legacy Boston Scally Cap - Coolidge Black                     3/9/2026
The Legacy Boston Scally Cap - Dorchester Green                   3/9/2026
The Legacy Boston Scally Cap - Grey & Patriot Blue Herringbone    3/9/2026
The Legacy Boston Scally Cap - Light Grey                         3/9/2026
The Local Boston Scally Cap - Shoppers Cafe                       3/9/2026
The Loch Ness Boston Scally Cap - Multi-Color Patchwork           3/9/2026
The Lucky Boston Scally Cap - Black                               3/9/2026
The Lucky Boston Scally Cap - Green                               3/9/2026
The Lucky Boston Scally Cap - White                               3/9/2026
The Lunchbox Blackbox Edition Boston Scally Cap - Black Plaid     3/9/2026
The Lunchbox Boston Scally Cap - Patchwork Edition                3/9/2026
The Majestic Rose Boston Scally Cap - Majestic Plaid              3/9/2026
The Mesh Trucker Boston Scally Cap - Black with White             3/9/2026
The MVP Collectors Edition Boston Scally Cap - Navy               3/9/2026
The Neighborhood Boston Scally Cap - Allston Grey                 3/9/2026
